season,name,age,team,icetime,sv% on shots on goal,rebounds per save,freezes per save,% of shot attempts blocked by teammates,on goal % above expected,low danger unblocked shot attempt sv%,medium danger unblocked shot attempt sv%,high danger unblocked shot attempt sv% above expected,corsi,improvement
2008,Craig Anderson,27,FLA,98154.0,0.924257932446264,0.0719822812846068,0.2668881506090808,0.1828737300435413,0.0212847838957963,0.97558494404883,0.8849206349206349,0.0403947368421052,75.81147991931047,0.0513402998636982
2008,Carey Price,21,MTL,180336.0,0.9054857898215466,0.0824817518248175,0.237956204379562,0.2117679711351651,0.0156514084507042,0.9719745222929936,0.8783783783783784,-0.0673722627737225,71.92573862124036,-0.1252345215759849
2008,Chris Osgood,36,DET,159763.0,0.8865894039735099,0.0718954248366013,0.23062558356676,0.1597484276729559,0.0188972055888223,0.9637436762225968,0.8647798742138365,-0.072436974789916,53.74210549376264,-0.2608695652173912
2008,Antero Niittymaki,28,PHI,108255.0,0.9123548046462512,0.0868055555555555,0.2372685185185185,0.2002724795640326,0.0060533787620669,0.9677103718199608,0.8815165876777251,0.0403448275862069,73.22710267424138,-0.0401785714285714
2008,Ryan Miller,28,BUF,202395.0,0.9182177100958828,0.0534398034398034,0.2266584766584766,0.1897643780086141,0.0167010631644778,0.9696493982208269,0.8868360277136259,-0.0312380952380952,70.20529163269843,0.0179317121100466
2008,Steve Mason,20,CBJ,219711.0,0.9155609167671894,0.0612648221343873,0.183794466403162,0.1977176220806794,0.0257922593450214,0.9719416386083052,0.8721227621483376,-0.032,61.7392847877439,-0.0965391621129326
2008,Chris Mason,32,STL,192894.0,0.9164507772020726,0.0657243816254417,0.223321554770318,0.1979709350150809,0.0081948717948718,0.9694656488549618,0.9,-0.04,68.06432548446297,0.0181190681622088
2008,Evgeni Nabokov,33,SJS,220886.0,0.9098015634395672,0.08393919365499,0.26305353602115,0.1977671451355661,0.0242445328031809,0.9705215419501134,0.8694516971279374,-0.0410236220472441,61.313075523120524,-0.0415720127214902
2008,Henrik Lundqvist,26,NYR,252766.0,0.9169533169533168,0.0648445873526259,0.2154340836012861,0.1805209513023782,0.0084107241569928,0.973795039775386,0.8807692307692307,0.0274999999999998,62.88029244439521,-0.0634050880626223
2008,Pekka Rinne,26,NSH,178752.0,0.9170731707317074,0.067629179331307,0.303951367781155,0.1905516804058338,0.0173913043478262,0.972883597883598,0.8664688427299704,-0.0087378640776699,63.5204081632653,-0.0059681697612732
2008,Cam Ward,24,CAR,234483.0,0.9158337716991056,0.0936243538196438,0.211947156806433,0.2079164854284471,0.0039676002196595,0.97412109375,0.8837209302325582,0.0354545454545454,70.59275086040353,-0.0735294117647058
2008,Tomas Vokoun,32,FLA,199209.0,0.925646551724138,0.0826542491268917,0.2741559953434226,0.1805,0.0126632092739475,0.9769076305220884,0.8865740740740741,0.029621212121212,72.28589069770945,-0.0755986010223298
2008,Marty Turco,33,DAL,258435.0,0.8981435022579026,0.0832402234636871,0.2268156424581005,0.190486580842243,-0.0014986522911051,0.9718634686346864,0.8490945674044266,-0.0290697674418605,63.841197980149744,-0.0666356011183597
2008,Andrew Raycroft,28,COL,103046.0,0.8923444976076556,0.0938337801608579,0.2587131367292225,0.2066601371204701,0.0083518518518518,0.9654811715481172,0.8415300546448088,-0.1205084745762711,71.33901364439183,0.0414746543778801
2008,Jose Theodore,32,WSH,195807.0,0.9001272264631043,0.0692579505300353,0.223321554770318,0.2026037428803905,0.0030170068027209,0.9690346083788708,0.8735362997658079,-0.0852941176470588,67.78715776249061,0.0768943635684957
2008,Mike Smith,26,TBL,147981.0,0.9157566302652106,0.0638841567291311,0.2580919931856899,0.1857764876632801,0.0236497326203207,0.9695167286245352,0.8934707903780069,-0.0263541666666666,67.04644515174245,-0.0319396051103368
2008,Dwayne Roloson,39,EDM,215511.0,0.9150025601638504,0.0783435926133184,0.2613318410744264,0.1852551984877126,0.0270968677494199,0.970486965076242,0.8709016393442623,0.0258041958041957,70.69337528014812,0.0155555555555556
2008,Michael Leighton,27,CAR,61731.0,0.90138067061144,0.1159737417943107,0.2078774617067833,0.1950207468879668,-0.0107628865979381,0.974910394265233,0.8809523809523809,-0.0976470588235294,70.27263449482432,0.1842105263157895
2008,Jonathan Quick,23,LAK,149094.0,0.9141666666666668,0.0610756608933454,0.2342752962625341,0.1962183374955405,-0.0018286728806035,0.9786729857819904,0.8793103448275862,-0.0339325842696629,67.68079198358083,0.0643939393939393
2008,Manny Legace,35,STL,86839.0,0.8849028400597907,0.0692567567567567,0.2297297297297297,0.2019108280254777,0.0586512370311252,0.9520103761348896,0.8728813559322034,-0.1617021276595744,65.0859636799134,-0.0911330049261083
2008,Dan Ellis,28,NSH,117883.0,0.9003115264797508,0.0853517877739331,0.2272202998846597,0.1944570649704679,0.0236097010716299,0.9766990291262136,0.8394495412844036,-0.0376288659793814,67.21579871567572,0.1695852534562212
2008,Brian Elliott,23,OTT,100022.0,0.9020356234096693,0.078984485190409,0.2440056417489421,0.204646017699115,0.0161613351877608,0.9646772228989038,0.8524590163934426,0.03140625,65.07368378956629,0.0111436950146627
2008,Scott Clemmensen,31,NJD,141319.0,0.9173989455184536,0.0545977011494252,0.2346743295019157,0.1893203883495145,0.019630738522954,0.9753694581280788,0.8675213675213675,-0.0516666666666667,62.97242409017896,-0.233695652173913
2008,Peter Budaj,26,COL,191512.0,0.8994121489222731,0.0922294843863471,0.2338416848220769,0.2243557352198079,0.0088175895765472,0.9676280164802824,0.8579234972677595,-0.0576923076923077,74.40160407702912,-0.0238095238095238
